"date","conf","comment","s1"
"1999-01-30 24:00:00","","Introduction of harmonised treatment of price reductions in Luxembourg as of Jan99",0.8
"1999-02-27 24:00:00","",,0.7
"1999-03-30 24:00:00","",,0.9
"1999-04-29 24:00:00","",,1.1
"1999-05-30 24:00:00","",,0.9
"1999-06-29 24:00:00","",,0.9
"1999-07-30 24:00:00","",,1
"1999-08-30 24:00:00","",,1.1
"1999-09-29 24:00:00","",,1.2
"1999-10-30 24:00:00","",,1.3
"1999-11-29 24:00:00","",,1.5
"1999-12-30 24:00:00","",,1.7
"2000-01-30 24:00:00","","Introduction of harmonised treatment of price reductions in Belgium as of Jan00",1.9
"2000-02-28 24:00:00","",,1.9
"2000-03-30 24:00:00","",,2
"2000-04-29 24:00:00","",,1.7
"2000-05-30 24:00:00","",,1.8
"2000-06-29 24:00:00","",,2.1
"2000-07-30 24:00:00","",,2.1
"2000-08-30 24:00:00","",,2
"2000-09-29 24:00:00","",,2.4
"2000-10-30 24:00:00","",,2.4
"2000-11-29 24:00:00","",,2.5
"2000-12-30 24:00:00","",,2.5
"2001-01-30 24:00:00","","Introduction of harmonised treatment of price reductions in Spain and Italy as of Jan01",2
"2001-02-27 24:00:00","",,2
"2001-03-30 24:00:00","",,2.2
"2001-04-29 24:00:00","",,2.7
"2001-05-30 24:00:00","",,3.1
"2001-06-29 24:00:00","",,2.9
"2001-07-30 24:00:00","",,2.5
"2001-08-30 24:00:00","",,2.3
"2001-09-29 24:00:00","",,2.2
"2001-10-30 24:00:00","",,2.2
"2001-11-29 24:00:00","",,2
"2001-12-30 24:00:00","",,2.1
"2002-01-30 24:00:00","",,2.6
"2002-02-27 24:00:00","",,2.5
"2002-03-30 24:00:00","",,2.5
"2002-04-29 24:00:00","",,2.4
"2002-05-30 24:00:00","",,2.1
"2002-06-29 24:00:00","",,1.9
"2002-07-30 24:00:00","",,2
"2002-08-30 24:00:00","",,2.1
"2002-09-29 24:00:00","",,2.1
"2002-10-30 24:00:00","",,2.3
"2002-11-29 24:00:00","",,2.3
"2002-12-30 24:00:00","",,2.3
"2003-01-30 24:00:00","",,2.1
"2003-02-27 24:00:00","",,2.4
"2003-03-30 24:00:00","",,2.4
"2003-04-29 24:00:00","",,2.1
"2003-05-30 24:00:00","",,1.8
"2003-06-29 24:00:00","",,2
"2003-07-30 24:00:00","",,1.9
"2003-08-30 24:00:00","",,2
"2003-09-29 24:00:00","",,2.1
"2003-10-30 24:00:00","",,2
"2003-11-29 24:00:00","",,2.2
"2003-12-30 24:00:00","",,2
"2004-01-30 24:00:00","",,1.8
"2004-02-28 24:00:00","",,1.6
"2004-03-30 24:00:00","",,1.7
"2004-04-29 24:00:00","",,2.1
"2004-05-30 24:00:00","",,2.5
"2004-06-29 24:00:00","",,2.4
"2004-07-30 24:00:00","",,2.3
"2004-08-30 24:00:00","",,2.4
"2004-09-29 24:00:00","",,2.1
"2004-10-30 24:00:00","",,2.4
"2004-11-29 24:00:00","",,2.2
"2004-12-30 24:00:00","",,2.3
"2005-01-30 24:00:00","",,1.9
"2005-02-27 24:00:00","",,2.1
"2005-03-30 24:00:00","",,2.2
"2005-04-29 24:00:00","",,2.1
"2005-05-30 24:00:00","",,2
"2005-06-29 24:00:00","",,2
"2005-07-30 24:00:00","",,2.1
"2005-08-30 24:00:00","",,2.2
"2005-09-29 24:00:00","",,2.6
"2005-10-30 24:00:00","",,2.5
"2005-11-29 24:00:00","",,2.3
"2005-12-30 24:00:00","",,2.3
"2006-01-30 24:00:00","",,2.4
"2006-02-27 24:00:00","",,2.4
"2006-03-30 24:00:00","",,2.2
"2006-04-29 24:00:00","",,2.4
"2006-05-30 24:00:00","",,2.5
"2006-06-29 24:00:00","",,2.5
"2006-07-30 24:00:00","",,2.4
"2006-08-30 24:00:00","",,2.3
"2006-09-29 24:00:00","",,1.8
"2006-10-30 24:00:00","","Introduction of regulation (EC) No 701/2006 on the temporal coverage of price collection in the HICP in Italy. Collection after October 2006 took place between the 1st and the 21st of the reference month. Until September 2006 the collection period was between the 16th of the previous month and the 15th of the reference month.",1.6
"2006-11-29 24:00:00","",,1.8
"2006-12-30 24:00:00","",,1.9
"2007-01-30 24:00:00","",,1.8
"2007-02-27 24:00:00","",,1.8
"2007-03-30 24:00:00","",,1.9
"2007-04-29 24:00:00","",,1.9
"2007-05-30 24:00:00","",,1.9
"2007-06-29 24:00:00","",,1.9
"2007-07-30 24:00:00","",,1.8
"2007-08-30 24:00:00","",,1.7
"2007-09-29 24:00:00","",,2.1
"2007-10-30 24:00:00","",,2.5
"2007-11-29 24:00:00","",,3.1
"2007-12-30 24:00:00","",,3.1
"2008-01-30 24:00:00","","Introduction of methodological changes to the German HICP including - new basket, updated of volume structure of the weights, introduction of explicit weights for outlets and implementation of regulation (EC) No 701/2006 on the temporal coverage of price collection in the HICP",3.2
"2008-02-28 24:00:00","",,3.3
"2008-03-30 24:00:00","",,3.6
"2008-04-29 24:00:00","",,3.3
"2008-05-30 24:00:00","",,3.7
"2008-06-29 24:00:00","",,3.9
"2008-07-30 24:00:00","",,4.1
"2008-08-30 24:00:00","",,3.8
"2008-09-29 24:00:00","",,3.6
